C9A0C7E9-E930-4EE3-8E39-9B907D1ED89B,MS000089,Museum Alkitab,,Gedung Lembaga Alkitab Indonesia Lt. 2 Jl. Salemba Raya No. 12 Senen,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1408990,106.9025100,6000,YAYASAN LEMBAGA ALKITAB INDONESIA,Yayasan Lembaga Alkitab Indonesia,khusus,B,1954,Lama,,
1738F1BC-5849-4B6F-97D9-F0C22EAEDEAE,MS000142,"Museum Anatomy FK, UI",,Jl. Salemba No.6,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1939590,106.8486230,,FAKULTAS KEDOKTERAN UI,Fakultas Kedokteran UI,khusus,-,,Lama,,
4A33CF6F-A284-4E42-830B-E7DC755614CD,MS000134,Museum Art Mon Decor,,"Jl. Rajawali Selatan Raya no. 3 Gn. Sahari Utara, Sawah Besar",-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1469940,106.8402340,,SWASTA,Swasta,khusus,-,2011,Baru,2000,
55C9B159-693F-4B1E-9A7D-79C07EE381AE,MS000061,Museum Artha Suaka,,Gd. Bank Indonesia Lt. 6 Jl. Kebon Sirih No. 82 - 84,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1827780,106.8264110,,BANK INDONESIA,Bank Indonesia,khusus,-,2006,Baru,,
C40E439C-FD31-421D-AD23-E3D3E355AD38,MS000129,Museum Galeri Melaka,,"Jl. Melaka Nomor 7-9, Roa Malaka, Tambora, Kawasan Kota Tua",-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1356960,106.8155740,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,khusus,-,2013,Lama,90,
6E1B1391-6080-47ED-B165-6A6EA5497C3B,MS000054,Museum Joangâ€™ 45,,Jl. Menteng Raya  No.31,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1861720,106.8364410,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,Khusus,B,1974,Lama,2400,
991324D5-1CE3-40F6-8E83-B312B7BD2CBB,MS000100,Museum Katedral,,Jl. Katedral 7,-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1691900,106.8329960,,GEREJA KATEDRAL,Gereja Katedral,Khusus,C,1991,Lama,400,
8F1EFBF9-183E-4091-8727-FE7D5E3DA072,MS000149,Museum Kebangkitan Nasional,,Jl. Abdulrahman Saleh  No.26,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1783470,106.8380940,2042,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Khusus,A,1974,Lama,14625,
FA9ABE78-1010-4A82-8AC8-94662EA100BD,MS000083,Museum Moh. Husni Thamrin,,Jl. Kenari  No.15,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1933370,106.8452780,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,Khusus,-,1986,Lama,870,
69ACA843-4828-4B56-90D1-E5F11B3186FB,MS000130,Museum Nasional,,Jl. Merdeka Barat  No.12,-,Gambir,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1764020,106.8216760,140000,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Umum,A,1868,Baru,26000,
C73070E3-072D-49D6-9338-606F6BCA7443,MS000051,Museum Nasional Jenderal Besar DR. A.H. Nasution ,,"Jl. Teuku Umar No. 40,  Menteng",-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1929550,106.8327700,,DINAS SEJARAH ANGKATAN DARAT ,DINAS SEJARAH ANGKATAN DARAT ,Khusus,B,2008,Lama,2000,
8EE8C8F1-9ECF-45D6-9894-40656CAA59D9,MS000032,Museum Pers Antara (Graha Bakti Antara),,Jl. Antara No. 59-61,Pasar Baru,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1656600,106.8341890,,LEMBAGA KANTOR BERITA NASIONAL,Lembaga Kantor Berita Nasional (LKBN) Antara,Khusus,B,1992,Lama,,
A5D88FFC-34B6-4531-AFBA-21B9C911C879,MS000013,Museum Perumusan   Naskah Proklamasi,,Jl. Imam Bonjol No.1,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.2004730,106.8310690,804,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Khusus,A,1992,Lama,3914,
97FE1D6C-7A85-45F0-9BE3-D4CC6579800C,MS000122,Museum Sasmita Loka A. Yani ,,Jl. Lembang No. 58,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.2045340,106.8365050,,PUSJARAH TNI,Pusjarah TNI,Khusus,-,1966,Lama,1500,
EDC34295-F7CA-450F-9CB4-8B8F75FBD6E2,MS000077,Museum Sejarah Mahkamah Konstitusi (Pusat Sejarah Konstitusi MK),,"Gd. Mahkamah Konstitusi lt. 5 & 6, Jl. Medan Merdeka Barat no. 6",-,Gambir,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1735890,106.8220670,,MAHKAMAH KONSTITUSI,Mahkamah Konstitusi,khusus,-,2014,Baru,1462,
DC658481-5F65-4949-AC8E-5F1E051C608D,MS000050,Museum Seni Galeri Nasional Indonesia,,Jl. Medan Merdeka Timur No. 14,-,Gambir,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1782510,106.8320380,1785,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Kementerian Pendidikan dan Kebudayaan,khusus,-,1999,Lama,17600,
98A61286-001D-48A2-9082-B02CE16D4051,MS000098,Museum Sumpah Pemuda,,Jl. Kramat Raya  No.106,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1837580,106.8431910,2867,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Khusus,A,1973,Lama,1040,
63EF6980-D393-4BF1-8DDD-813000997488,MS000067,Museum Taman Prasasti,,Jl. Tanah Abang 1,-,Tanah Abang,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1723410,106.8194970,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,Khusus,C,1977,Lama,1200,
